mass_ratio,total_mass,spin1_norm,spin1_tilt,spin1_phi,spin2_norm,spin2_tilt,spin2_phi,delta_f,f_max,f_lower,f_ref,inclination,phiRef,distance,IMRPhenomXPHM-lal,IMRPhenomTPHM-lal,IMRPhenomTPHM-py,IMRPhenomTPHM-py-gpu
1.7060589271163755,1160741.173928805,0.7692649788756828,0.8656333871945302,2.321839614602136,0.7357989284854436,3.1394621706072137,4.8950308805497125,0.0,0.1,0.0001,0.0001,1.3004964251589517,1.769613435266373,96.8050267155228,6.034884560387582,19.49617856834084,2.657101719640196,0.1922548901289701
5.401698499167621,5138538.825130528,0.0156115758520597,2.587109008006244,1.4702378865473056,0.2759679979223948,0.0330035963612234,0.0890397700011057,0.0,0.1,0.0001,0.0001,0.2203794592483332,5.89842004091184,39.28427322750236,0.5467737380725642,5.1913878987543285,0.5261234571225941,0.0582417751196771
9.185231096900448,3763188.17084246,0.3621962438825149,0.8166231320188541,4.422637356263187,0.0122122111591546,0.6461888673946765,2.5629017042065194,0.0,0.1,0.0001,0.0001,0.0881993769748118,5.714708895497756,77.03873877975295,1.48205364200597,8.368950401898474,0.8385542817413807,0.0871459257788956
4.933687416199454,5508565.397101457,0.9650043190462988,1.1058937575153036,5.107766030836371,0.063106759769969,0.4495557197369769,5.432634021331129,0.0,0.1,0.0001,0.0001,3.121908057707827,0.1248770061655463,36.05502048319051,0.545541875064373,5.127339175902307,0.3991637197323143,0.053292032610625
7.235728955272624,4221458.0669468045,0.891802812401765,2.740358129732676,4.025817533893002,0.1397688380441977,2.73219170735608,1.996968200962496,0.0,0.1,0.0001,0.0001,1.9164775398118112,4.3033974681070895,58.59012528840668,0.9149102334243556,5.549122229684144,0.4988310458138585,0.0659041577950119
6.897661427440721,7622898.099587663,0.4875792989796875,1.0268107833829152,3.0045453385980947,0.9942075594807658,0.0704408777134513,0.2786871451712609,0.0,0.1,0.0001,0.0001,2.545254275728861,1.8112637352855976,66.53662458817956,0.47534880725045997,5.190324790775776,0.2778339888900518,0.0506676846183836
1.1983889968611867,1549339.53891112,0.4508025179236703,0.1925837389932253,5.376311911641546,0.0158813159167515,0.1282995495267844,4.8830193607819545,0.0,0.1,0.0001,0.0001,0.8522811963618412,6.049446134134215,49.151856379496735,2.7615002966485918,12.476846034172922,1.6764100040309131,0.1194579103961586
1.1792948889222314,1901471.4736130035,0.2461550543538979,0.4913810592797091,6.267074214402981,0.6772229550770531,1.5712365671152242,4.040061821713411,0.0,0.1,0.0001,0.0001,0.3404873448850387,0.0062015870637749,27.532883495389942,2.3109118884118893,9.704628500156105,0.9877328132279216,0.0944574085995555
1.077368871573623,3389467.006027657,0.1878295771517139,2.013475027728374,2.154111783095112,0.0065412974349133,2.478480201391215,5.484902426341653,0.0,0.1,0.0001,0.0001,1.2778292391079622,5.172794226070588,37.54264982765548,0.5730205629952252,3.96889330400154,0.5970831522718072,0.0580984082072973
9.297438022444972,4770389.243238673,0.6971860685040985,0.3019684881451983,5.764056829001515,0.7577267705364531,1.6890089144514202,0.9393502550313576,0.0,0.1,0.0001,0.0001,1.788173474883638,0.4272081250241207,65.40300035555518,0.8126355038645366,6.404445568099618,1.0574268437922,0.0696558526251465
4.849848419628368,1015506.2091737952,0.6382326051562345,3.021119239001308,4.597199475495404,0.3984911756786657,2.4005563439787254,2.0208499091466874,0.0,0.1,0.0001,0.0001,1.9636244591289875,5.283201535247582,56.321949459758194,13.16708790557459,45.744827818125486,8.342670870013535,0.3430797195062041
1.1657384160448192,3004097.188442761,0.6256101812561224,2.6517908412126574,4.850460005856752,0.1444134456528949,0.4889676212336291,2.741372235295258,0.0,0.1,0.0001,0.0001,1.6029976146378289,5.195440610179247,51.19967421111546,1.0685459366068244,4.466223032679409,0.4714262713678181,0.0612845411989837
1.4732961550689865,3014450.2690520147,0.3079526525955027,0.0967367291099572,3.3926653570961136,0.5111812829671123,1.2285524813985182,5.898711068071662,0.0,0.1,0.0001,0.0001,0.6252846380340891,4.849501610484263,71.57264313098233,0.6341496699800094,4.74510588683188,0.5443227086216211,0.0625338976737111
1.9965325665232536,5633970.337801123,0.974614827737044,0.9628303588445228,3.4015843585185017,0.0301596030548135,3.076887032834341,4.62662928260205,0.0,0.1,0.0001,0.0001,2.790394403761111,2.642509161977288,65.28384709085863,0.2566145340291162,2.132530987262726,0.2324649761430919,0.0491556973196566
2.8374720173567347,2220789.5138333603,0.1045474971447453,1.855626007275108,3.364540143738149,0.5526987422262314,0.0628387261081276,0.4092907209874145,0.0,0.1,0.0001,0.0001,1.8000711904676512,6.101952758552365,70.36590430763823,1.726314648675422,9.488840374164283,1.0109187886118889,0.0934711763635277
2.294338817734393,4912181.305325286,0.3639016483753361,3.11340069014985,4.24210822225443,0.0201074922861781,1.6920115873506234,5.366276792160125,0.0,0.1,0.0001,0.0001,0.7527674290735856,2.8987953355895097,99.2143560130426,0.2566711457135777,2.46934268809855,0.2570194541476667,0.0502845245879143
1.624658531067725,2184107.616075425,0.0850566032189115,2.1794075393269003,0.8352551321321797,0.9714778679675922,2.4785584431725813,5.90444524029609,0.0,0.1,0.0001,0.0001,0.0358643997464063,0.6889573203542952,42.46895342903856,0.8886832177328566,8.193908825982362,1.283887336961925,0.0841281248256564
3.4531540830760736,1918948.338220307,0.2316659157426932,2.10190968082752,3.812074383865476,0.7991096049503816,2.136377586273425,0.3143417515013209,0.0,0.1,0.0001,0.0001,0.3446315531117879,0.3226991673661608,32.96980715334709,2.1442987707753978,14.205283741932362,2.58393778372556,0.118304993212223
