mass_ratio,total_mass,spin1z,spin2z,delta_f,f_max,f_lower,f_ref,inclination,phiRef,distance,IMRPhenomXHM-lal,IMRPhenomTHM-lal,IMRPhenomTHM-py,IMRPhenomTHM-py-gpu
1.7060589271163755,1160741.173928805,0.5385299577513656,-0.4489206700904398,0.0,0.1,0.0001,0.0001,0.4357048798243687,5.162276694230347,76.21567168240666,2.613477316995462,3.2174588362686336,1.7105896198190749,0.0525776635855436
5.401698499167621,5138538.825130528,-0.9687768482958804,0.6470047477670544,0.0,0.1,0.0001,0.0001,1.708431388017129,3.620101881830086,24.87636115111148,0.3970935770000021,0.7388160787522793,0.1805621399544179,0.0354821316897869
9.185231096900448,3763188.17084246,-0.2756075122349701,-0.4801215675840558,0.0,0.1,0.0001,0.0001,1.7903366510871517,2.237324253480041,83.65369449172645,0.7228605382454892,1.1848328690975904,0.8464991110377014,0.0395065273158252
4.933687416199454,5508565.397101457,0.9300086380925976,-0.2959661678278782,0.0,0.1,0.0001,0.0001,1.4509409937344924,4.631523088025655,16.738135819886516,0.3846576420279841,0.7893014829605818,0.2290883180685341,0.0383613921701908
7.235728955272624,4221458.0669468045,0.7836056248035299,0.744566168756067,0.0,0.1,0.0001,0.0001,0.1849193306827414,0.8697757360094063,36.58775636486324,0.46935339892903966,1.0258161518722773,0.5535455127246678,0.0377069434616714
6.897661427440721,7622898.099587663,-0.0248414020406249,-0.3463119528181906,0.0,0.1,0.0001,0.0001,2.525878096727877,3.634362506694583,29.76744990544516,0.32125363623102504,0.7925979229621589,0.1166858589276671,0.0350697264075279
1.1983889968611867,1549339.53891112,-0.0983949641526593,-0.8773973839204352,0.0,0.1,0.0001,0.0001,1.7319726775928903,5.24572043423028,47.27479993162196,1.308405140414834,1.905280509032309,1.0171907539479434,0.0418807110283523
1.1792948889222314,1901471.4736130035,-0.5076898912922041,-0.6871771018956105,0.0,0.1,0.0001,0.0001,1.0715803865462472,3.739028631196799,72.79222235261949,0.8661675197072327,1.30075402604416,0.6403205348178744,0.0385246681980788
1.077368871573623,3389467.006027657,-0.6243408456965722,0.281818013820247,0.0,0.1,0.0001,0.0001,0.8009823319930724,4.344376088201929,22.40410056018781,0.21262731061627468,0.7393780606798828,0.3924855701625347,0.0361234894022345
9.297438022444972,4770389.243238673,0.3943721370081969,-0.8077608898148212,0.0,0.1,0.0001,0.0001,1.7095399387431849,4.568095766236983,32.355679807977594,0.21292487919951478,1.2198490360751748,0.4831998501904309,0.0368835280183702
4.849848419628368,1015506.2091737952,0.2764652103124689,0.9233042422283332,0.0,0.1,0.0001,0.0001,0.6101545729005774,2.731797883783028,13.546146436584038,4.202436705119908,8.94026581197977,3.836137937381864,0.0825057998299598
